Year,State,Region,Population_Crore,Murder,Rape,Kidnapping,Robbery,Theft,Assault,Cybercrime,Fraud,Total_Crimes,Crime_Rate_per_100k,YoY_Change_%,Violent_Crimes,Property_Crimes
2015,Chhattisgarh,Central,27.482,617,1130,1371,633,6010,5822,3132,1199,19914,7.25,,9573,7842
2016,Chhattisgarh,Central,27.784,434,752,835,907,8686,6614,1283,2601,22112,7.96,11.04,9542,12194
2017,Chhattisgarh,Central,28.086,560,872,1254,649,8385,7681,1268,2560,23229,8.27,5.05,11016,11594
2018,Chhattisgarh,Central,28.388,624,1166,1722,826,5938,4569,4393,1707,20945,7.38,-9.83,8907,8471
2019,Chhattisgarh,Central,28.69,624,1564,1461,672,8930,6978,4437,5147,29813,10.39,42.34,11299,14749
2020,Chhattisgarh,Central,28.992,466,1326,1519,460,4621,4065,1376,1906,15739,5.43,-47.21,7836,6987
2021,Chhattisgarh,Central,29.294,624,784,1130,916,4980,8647,3369,2397,22847,7.8,45.16,12101,8293
2022,Chhattisgarh,Central,29.596,706,1387,1902,953,10545,6327,3288,5786,30894,10.44,35.22,11275,17284
2023,Chhattisgarh,Central,29.898,762,1751,1404,721,10595,6843,9978,6797,38851,12.99,25.76,11481,18113
2024,Chhattisgarh,Central,30.2,635,1562,1838,546,11655,8077,9941,4422,38676,12.81,-0.45,12658,16623
2015,Goa,West,1.456,30,41,97,26,376,533,219,147,1469,10.09,,727,549
2016,Goa,West,1.472,35,63,63,34,501,480,226,199,1601,10.88,8.99,675,734
2017,Goa,West,1.488,25,66,51,43,435,536,151,106,1413,9.5,-11.74,721,584
2018,Goa,West,1.504,27,81,86,28,322,485,93,252,1374,9.14,-2.76,707,602
2019,Goa,West,1.52,39,49,55,62,431,380,349,304,1669,10.98,21.47,585,797
2020,Goa,West,1.536,37,69,61,23,480,373,203,265,1511,9.84,-9.47,563,768
2021,Goa,West,1.552,25,66,48,40,304,277,137,262,1159,7.47,-23.3,456,606
2022,Goa,West,1.568,42,79,117,41,427,591,214,398,1909,12.17,64.71,870,866
2023,Goa,West,1.584,27,102,57,63,528,652,161,310,1900,11.99,-0.47,901,901
2024,Goa,West,1.6,49,79,99,56,511,523,453,444,2214,13.84,16.53,806,1011
2015,Gujarat,West,65.065,546,1652,1887,751,9236,6199,1565,2582,24418,3.75,,11035,12569
2016,Gujarat,West,65.78,586,1355,1002,1124,11791,9034,3333,2441,30666,4.66,25.59,13101,15356
2017,Gujarat,West,66.495,771,1481,1124,1105,10989,10887,4815,3746,34918,5.25,13.87,15368,15840
2018,Gujarat,West,67.21,637,1751,1990,510,5911,7297,6001,5544,29641,4.41,-15.11,12185,11965
2019,Gujarat,West,67.925,547,1460,1442,1199,11623,10620,4607,3754,35252,5.19,18.93,15268,16576
2020,Gujarat,West,68.64,499,783,1704,908,10645,9808,4749,4676,33772,4.92,-4.2,13702,16229
2021,Gujarat,West,69.355,815,1624,1215,778,6412,10846,6234,3248,31172,4.49,-7.7,15278,10438
2022,Gujarat,West,70.07,801,1582,1509,610,11157,9010,9039,5424,39132,5.58,25.54,13512,17191
2023,Gujarat,West,70.785,895,1546,1811,1232,9397,6323,2707,7218,31129,4.4,-20.45,11807,17847
2024,Gujarat,West,71.5,813,1744,1376,654,6635,8106,8914,5530,33772,4.72,8.49,12693,12819
2015,Haryana,North,27.846,479,695,914,605,4887,5209,2477,2421,17687,6.35,,7902,7913
2016,Haryana,North,28.152,318,1040,920,395,5249,6757,1963,1558,18200,6.46,2.9,9430,7202
2017,Haryana,North,28.458,439,664,638,347,4019,3533,1196,2393,13229,4.65,-27.31,5621,6759
2018,Haryana,North,28.764,341,742,1264,509,6360,3698,1560,1257,15731,5.47,18.91,6554,8126
2019,Haryana,North,29.07,345,718,744,345,4170,5011,1823,2211,15367,5.29,-2.31,7163,6726
2020,Haryana,North,29.376,358,812,535,561,5308,2845,4131,3265,17815,6.06,15.93,5111,9134
2021,Haryana,North,29.682,303,681,1162,614,4222,3744,2817,2736,16279,5.48,-8.62,6504,7572
2022,Haryana,North,29.988,485,824,1026,689,4067,4399,5311,4626,21427,7.15,31.62,7423,9382
2023,Haryana,North,30.294,467,950,752,554,6459,4447,3144,3145,19918,6.57,-7.04,7170,10158
2024,Haryana,North,30.6,344,828,857,505,4636,7617,5582,4557,24926,8.15,25.14,10151,9698
2015,Himachal Pradesh,North,6.825,122,172,292,164,1962,1403,264,411,4790,7.02,,2153,2537
2016,Himachal Pradesh,North,6.9,115,276,306,137,2309,1653,404,355,5555,8.05,15.97,2487,2801
2017,Himachal Pradesh,North,6.975,102,209,219,117,1463,1137,1108,382,4737,6.79,-14.73,1784,1962
2018,Himachal Pradesh,North,7.05,132,245,417,109,1644,2206,1236,961,6950,9.86,46.72,3109,2714
2019,Himachal Pradesh,North,7.125,115,204,351,229,1893,1722,665,1020,6199,8.7,-10.81,2621,3142
2020,Himachal Pradesh,North,7.2,92,196,245,141,1234,930,993,569,4400,6.11,-29.02,1604,1944
2021,Himachal Pradesh,North,7.275,133,191,291,163,1157,1337,548,491,4311,5.93,-2.02,2115,1811
2022,Himachal Pradesh,North,7.35,182,249,410,141,2199,2107,1464,1011,7763,10.56,80.07,3089,3351
2023,Himachal Pradesh,North,7.425,138,260,450,234,2660,1224,1865,1619,8450,11.38,8.85,2306,4513
2024,Himachal Pradesh,North,7.5,121,205,410,198,2532,1273,2172,851,7762,10.35,-8.14,2207,3581
2015,Jharkhand,East,37.219,328,996,1064,518,4947,6475,1493,2296,18117,4.87,,9381,7761
2016,Jharkhand,East,37.628,401,759,938,431,6680,5066,1330,2746,18351,4.88,1.29,7595,9857
2017,Jharkhand,East,38.037,397,878,1297,588,4147,7043,2819,1828,18997,4.99,3.52,10203,6563
2018,Jharkhand,East,38.446,345,1053,1104,559,7625,6544,1479,1969,20678,5.38,8.85,9605,10153
2019,Jharkhand,East,38.855,381,1045,662,589,7210,7083,2470,3529,22969,5.91,11.08,9760,11328
2020,Jharkhand,East,39.264,290,930,617,425,6173,3224,1839,2931,16429,4.18,-28.47,5486,9529
2021,Jharkhand,East,39.673,476,931,1128,548,4692,4485,2045,4086,18391,4.64,11.94,7568,9326
2022,Jharkhand,East,40.082,497,882,1070,821,4800,6177,4349,3846,22442,5.6,22.03,9447,9467
2023,Jharkhand,East,40.491,351,1228,1500,640,7538,7941,6050,2442,27690,6.84,23.38,11660,10620
2024,Jharkhand,East,40.9,517,1066,1083,744,8876,8124,4841,2474,27725,6.78,0.13,11534,12094
2015,Karnataka,South,62.517,1502,1842,3867,2071,17316,16430,4667,2992,50687,8.11,,25712,22379
2016,Karnataka,South,63.204,1166,3132,1850,1379,16163,16116,9984,5137,54927,8.69,8.37,23643,22679
2017,Karnataka,South,63.891,1201,3080,2944,1257,17247,11262,4235,6762,47988,7.51,-12.63,19744,25266
2018,Karnataka,South,64.578,1284,3491,2795,1799,20058,9796,10405,5087,54715,8.47,14.02,19165,26944
2019,Karnataka,South,65.265,1739,2062,2986,1109,25527,16749,10908,4684,65764,10.08,20.19,24645,31320
2020,Karnataka,South,65.952,1318,1829,3499,1077,12091,8664,8570,7899,44947,6.82,-31.65,16387,21067
2021,Karnataka,South,66.639,983,3132,2928,1669,16984,14591,11866,5879,58032,8.71,29.11,23303,24532
2022,Karnataka,South,67.326,1202,3697,4580,1636,16570,19954,11723,5623,64985,9.65,11.98,31069,23829
2023,Karnataka,South,68.013,1205,3464,3909,1115,16192,14185,18023,6016,64109,9.43,-1.35,23878,23323
2024,Karnataka,South,68.7,1185,3721,2677,2166,16783,12468,10536,15250,64786,9.43,1.06,22217,34199
2015,Kerala,South,32.578,723,1127,1595,568,7001,9803,914,1527,23258,7.14,,13816,9096
2016,Kerala,South,32.936,518,824,1091,833,7962,10007,4406,2471,28112,8.54,20.87,13273,11266
2017,Kerala,South,33.294,549,1164,1581,637,9435,7157,3853,3066,27442,8.24,-2.38,11088,13138
2018,Kerala,South,33.652,574,1720,1818,563,11240,7827,6305,4717,34764,10.33,26.68,12502,16520
2019,Kerala,South,34.01,637,877,1270,862,9926,6474,2429,5333,27808,8.18,-20.01,10120,16121
2020,Kerala,South,34.368,712,1136,968,561,4886,9089,2111,3862,23325,6.79,-16.12,12466,9309
2021,Kerala,South,34.726,551,1314,1640,1014,6731,4590,2742,6076,24658,7.1,5.71,9109,13821
2022,Kerala,South,35.084,862,1520,1777,1013,7336,11572,5756,4571,34407,9.81,39.54,16744,12920
2023,Kerala,South,35.442,733,981,1252,1092,6821,9561,4683,4978,30101,8.49,-12.51,13619,12891
2024,Kerala,South,35.8,651,1329,2010,765,10550,8821,9441,8671,42238,11.8,40.32,13576,19986
2015,Madhya Pradesh,Central,78.806,1141,1814,2586,1843,12390,16509,6599,4875,47757,6.06,,23893,19108
2016,Madhya Pradesh,Central,79.672,1611,2006,2180,2085,18872,19571,6333,4909,57567,7.23,20.54,27453,25866
2017,Madhya Pradesh,Central,80.538,1687,3464,3809,1435,20656,15345,3677,10402,60475,7.51,5.05,25740,32493
2018,Madhya Pradesh,Central,81.404,1156,3857,3247,1331,20417,23163,12122,10623,75916,9.33,25.53,32754,32371
2019,Madhya Pradesh,Central,82.27,1627,3393,4393,1464,20090,13957,17305,12927,75156,9.14,-1,24834,34481
2020,Madhya Pradesh,Central,83.136,921,2868,3852,1135,17820,20379,3652,9625,60252,7.25,-19.83,29155,28580
2021,Madhya Pradesh,Central,84.002,1253,3695,4484,2447,18879,22353,17383,7964,78458,9.34,30.22,34232,29290
2022,Madhya Pradesh,Central,84.868,1891,2131,3969,1529,15565,12596,18249,9741,65671,7.74,-16.3,22116,26835
2023,Madhya Pradesh,Central,85.734,1834,2242,3238,2101,26794,16797,18555,17385,88946,10.37,35.44,26212,46280
2024,Madhya Pradesh,Central,86.6,1770,2687,2444,2733,14585,26384,18033,19457,88093,10.17,-0.96,36018,36775
2015,Maharashtra,West,114.842,2662,3702,5799,2372,27709,27808,13307,13181,96540,8.41,,42343,43262
2016,Maharashtra,West,116.104,2445,3991,4624,3190,23237,17488,8498,7869,71342,6.14,-26.1,31738,34296
2017,Maharashtra,West,117.366,1916,3512,3261,1590,40012,24769,10377,13157,98594,8.4,38.2,35048,54759
2018,Maharashtra,West,118.628,1860,5861,6282,1796,28271,35339,22409,11953,113771,9.59,15.39,51138,42020
2019,Maharashtra,West,119.89,2414,3456,7252,2182,40810,30926,18226,13777,119043,9.93,4.63,46230,56769
2020,Maharashtra,West,121.152,1607,2922,3463,1737,31104,20227,6017,17947,85024,7.02,-28.58,29956,50788
2021,Maharashtra,West,122.414,2627,5626,6907,1940,27011,31733,22833,9662,108339,8.85,27.42,48833,38613
2022,Maharashtra,West,123.676,2856,3886,4423,3120,35083,31315,10008,24280,114971,9.3,6.12,45600,62483
2023,Maharashtra,West,124.938,2140,3634,7451,4295,42485,37655,29144,20032,146836,11.75,27.72,55175,66812
2024,Maharashtra,West,126.2,1927,4716,5284,2504,39884,30537,11647,14798,111297,8.82,-24.2,44968,57186
2015,Manipur,Northeast,2.912,36,122,112,59,707,750,166,246,2198,7.55,,1079,1012
2016,Manipur,Northeast,2.944,51,83,149,78,756,781,369,284,2551,8.67,16.06,1142,1118
2017,Manipur,Northeast,2.976,60,116,134,70,821,445,435,360,2441,8.2,-4.31,825,1251
2018,Manipur,Northeast,3.008,38,128,86,56,835,456,471,387,2457,8.17,0.66,764,1278
2019,Manipur,Northeast,3.04,53,69,103,73,981,718,254,363,2614,8.6,6.39,1016,1417
2020,Manipur,Northeast,3.072,45,107,72,68,625,750,272,325,2264,7.37,-13.39,1042,1018
2021,Manipur,Northeast,3.104,63,72,157,73,469,515,544,197,2090,6.73,-7.69,880,739
2022,Manipur,Northeast,3.136,59,101,144,43,984,961,840,518,3650,11.64,74.64,1308,1545
2023,Manipur,Northeast,3.168,45,137,85,42,686,699,773,530,2997,9.46,-17.89,1008,1258
2024,Manipur,Northeast,3.2,57,99,190,69,777,521,865,577,3155,9.86,5.27,936,1423
2015,Meghalaya,Northeast,3.458,30,90,103,40,723,346,156,247,1735,5.02,,609,1010
2016,Meghalaya,Northeast,3.496,39,89,87,41,753,460,310,140,1919,5.49,10.61,716,934
2017,Meghalaya,Northeast,3.534,35,55,108,46,720,497,384,147,1992,5.64,3.8,741,913
2018,Meghalaya,Northeast,3.572,51,102,120,69,692,574,138,127,1873,5.24,-5.97,916,888
2019,Meghalaya,Northeast,3.61,54,94,124,53,426,367,383,244,1745,4.83,-6.83,692,723
2020,Meghalaya,Northeast,3.648,30,72,56,49,413,554,211,225,1610,4.41,-7.74,761,687
2021,Meghalaya,Northeast,3.686,29,57,88,51,606,418,440,388,2077,5.63,29.01,643,1045
2022,Meghalaya,Northeast,3.724,54,62,106,38,513,794,222,339,2128,5.71,2.46,1054,890
2023,Meghalaya,Northeast,3.762,50,109,115,34,564,587,210,313,1982,5.27,-6.86,895,911
2024,Meghalaya,Northeast,3.8,35,68,104,41,694,683,713,277,2615,6.88,31.94,931,1012
2015,Mizoram,Northeast,1.183,10,28,34,9,232,99,58,67,537,4.54,,180,308
2016,Mizoram,Northeast,1.196,16,30,37,14,222,105,100,65,589,4.92,9.68,202,301
2017,Mizoram,Northeast,1.209,16,26,35,17,215,108,31,52,500,4.14,-15.11,202,284
2018,Mizoram,Northeast,1.222,11,35,25,24,165,124,122,89,595,4.87,19,219,278
2019,Mizoram,Northeast,1.235,14,29,38,13,263,239,119,59,774,6.27,30.08,333,335
2020,Mizoram,Northeast,1.248,13,16,17,11,157,188,119,95,616,4.94,-20.41,245,263
2021,Mizoram,Northeast,1.261,12,24,28,23,121,213,125,86,632,5.01,2.6,300,230
2022,Mizoram,Northeast,1.274,17,30,45,25,193,150,154,155,769,6.04,21.68,267,373
2023,Mizoram,Northeast,1.287,12,33,39,23,153,221,233,81,795,6.18,3.38,328,257
2024,Mizoram,Northeast,1.3,13,42,27,25,213,152,247,121,840,6.46,5.66,259,359
2015,Nagaland,Northeast,2.002,27,63,51,33,543,289,154,105,1265,6.32,,463,681
2016,Nagaland,Northeast,2.024,35,44,96,36,332,239,84,146,1012,5,-20,450,514
2017,Nagaland,Northeast,2.046,28,76,68,30,459,442,97,106,1306,6.38,29.05,644,595
2018,Nagaland,Northeast,2.068,23,74,83,38,541,484,225,242,1710,8.27,30.93,702,821
2019,Nagaland,Northeast,2.09,27,47,62,25,452,537,88,121,1359,6.5,-20.53,698,598
2020,Nagaland,Northeast,2.112,26,71,54,34,245,235,347,257,1269,6.01,-6.62,420,536
2021,Nagaland,Northeast,2.134,22,81,79,50,405,380,256,247,1520,7.12,19.78,612,702
2022,Nagaland,Northeast,2.156,27,46,68,51,367,482,513,150,1704,7.9,12.11,674,568
2023,Nagaland,Northeast,2.178,38,68,105,32,549,550,552,323,2217,10.18,30.11,793,904
2024,Nagaland,Northeast,2.2,36,78,107,48,321,596,474,347,2007,9.12,-9.47,865,716
2015,Odisha,East,42.77,537,910,1276,408,7461,8440,839,3118,22989,5.38,,11571,10987
2016,Odisha,East,43.24,477,1274,1423,666,8040,8026,2184,1964,24054,5.56,4.63,11866,10670
2017,Odisha,East,43.71,564,1257,1437,808,6663,7896,1439,2768,22832,5.22,-5.08,11962,10239
2018,Odisha,East,44.18,378,922,1097,600,8183,5812,3114,2165,22271,5.04,-2.46,8809,10948
2019,Odisha,East,44.65,499,867,840,733,8219,7187,3602,2844,24791,5.55,11.32,10126,11796
2020,Odisha,East,45.12,545,915,1031,334,5412,4942,3013,3136,19328,4.28,-22.04,7767,8882
2021,Odisha,East,45.59,521,1103,1431,811,8067,8551,1538,2443,24465,5.37,26.58,12417,11321
2022,Odisha,East,46.06,413,1271,1743,560,10258,4453,8249,3567,30514,6.62,24.73,8440,14385
2023,Odisha,East,46.53,453,1162,1108,598,6838,8910,6037,3675,28781,6.19,-5.68,12231,11111
2024,Odisha,East,47,637,1384,1148,694,5871,5369,7785,3327,26215,5.58,-8.92,9232,9892
2015,Punjab,North,27.937,468,602,1021,414,7617,5013,2525,1883,19543,7,,7518,9914
2016,Punjab,North,28.244,316,937,1339,581,7178,6845,1357,1437,19990,7.08,2.29,10018,9196
2017,Punjab,North,28.551,465,820,1282,735,5302,4166,3404,1745,17919,6.28,-10.36,7468,7782
2018,Punjab,North,28.858,530,847,1173,365,6633,5222,3169,1667,19606,6.79,9.41,8137,8665
2019,Punjab,North,29.165,519,1153,831,374,4033,6210,3678,2875,19673,6.75,0.34,9087,7282
2020,Punjab,North,29.472,325,707,955,478,7080,3265,3731,2231,18772,6.37,-4.58,5730,9789
2021,Punjab,North,29.779,417,1005,1159,773,4289,3561,4749,3218,19171,6.44,2.13,6915,8280
2022,Punjab,North,30.086,425,683,772,817,5125,5070,2821,3043,18756,6.23,-2.16,7767,8985
2023,Punjab,North,30.393,376,1011,773,784,5443,6259,7347,4430,26423,8.69,40.88,9203,10657
2024,Punjab,North,30.7,519,891,1031,729,9434,7012,5739,5106,30461,9.92,15.28,10182,15269
2015,Rajasthan,North,73.71,789,2203,3310,951,16319,9653,4736,2697,40658,5.52,,16906,19967
2016,Rajasthan,North,74.52,1048,2553,2211,1539,17834,17714,3466,4575,50940,6.84,25.29,25065,23948
2017,Rajasthan,North,75.33,884,2984,3404,1427,18756,13635,7273,3344,51707,6.86,1.51,22334,23527
2018,Rajasthan,North,76.14,1293,1657,3277,1752,17675,8471,5280,4799,44204,5.81,-14.51,16450,24226
2019,Rajasthan,North,76.95,1061,1628,3579,1509,13417,12824,7540,7620,49178,6.39,11.25,20601,22546
2020,Rajasthan,North,77.76,975,2513,2240,1719,16525,8925,11745,3832,48474,6.23,-1.43,16372,22076
2021,Rajasthan,North,78.57,1295,2006,3286,1803,18241,16499,6813,4369,54312,6.91,12.04,24889,24413
2022,Rajasthan,North,79.38,1163,1888,3287,1336,22568,16688,15998,5674,68602,8.64,26.31,24362,29578
2023,Rajasthan,North,80.19,1517,3274,2890,1715,20399,11182,12331,8719,62027,7.74,-9.58,20578,30833
2024,Rajasthan,North,81,1024,2325,1991,952,12744,21543,14317,15329,70225,8.67,13.22,27835,29025
2015,Sikkim,Northeast,0.637,10,17,19,7,133,82,44,43,355,5.57,,135,183
2016,Sikkim,Northeast,0.644,10,12,25,10,83,155,18,51,364,5.65,2.54,212,144
2017,Sikkim,Northeast,0.651,11,15,15,7,107,75,66,26,322,4.95,-11.54,123,140
2018,Sikkim,Northeast,0.658,10,25,27,13,110,127,62,49,423,6.43,31.37,202,172
2019,Sikkim,Northeast,0.665,10,24,21,8,119,109,98,71,460,6.92,8.75,172,198
2020,Sikkim,Northeast,0.672,10,10,17,10,71,79,84,33,314,4.67,-31.74,126,114
2021,Sikkim,Northeast,0.679,10,14,13,8,169,140,125,62,541,7.97,72.29,185,239
2022,Sikkim,Northeast,0.686,10,21,23,16,99,124,50,62,405,5.9,-25.14,194,177
2023,Sikkim,Northeast,0.693,12,20,22,12,139,158,157,118,638,9.21,57.53,224,269
2024,Sikkim,Northeast,0.7,12,18,28,12,120,168,43,123,524,7.49,-17.87,238,255
2015,Tamil Nadu,South,69.16,1064,2198,2987,1378,14516,7706,4332,2749,36930,5.34,,15333,18643
2016,Tamil Nadu,South,69.92,1146,2036,2668,766,9510,14443,2155,2718,35442,5.07,-4.03,21059,12994
2017,Tamil Nadu,South,70.68,744,2738,2835,1128,11914,10987,7981,6168,44495,6.3,25.54,18432,19210
2018,Tamil Nadu,South,71.44,866,1620,1694,1501,17123,10342,2419,3425,38990,5.46,-12.37,16023,22049
2019,Tamil Nadu,South,72.2,1368,1843,3025,1493,13377,9932,3757,7222,42017,5.82,7.76,17661,22092
2020,Tamil Nadu,South,72.96,1046,1995,2149,687,16519,13690,5052,8608,49746,6.82,18.39,19567,25814
2021,Tamil Nadu,South,73.72,1085,2173,2836,1625,15531,8643,6760,10048,48701,6.61,-2.1,16362,27204
2022,Tamil Nadu,South,74.48,970,2093,2534,1365,16935,19092,6847,5216,55052,7.39,13.04,26054,23516
2023,Tamil Nadu,South,75.24,973,3003,3037,1200,19686,18539,16809,12879,76126,10.12,38.28,26752,33765
2024,Tamil Nadu,South,76,1031,2840,2704,1942,19051,17911,15180,6627,67286,8.85,-11.61,26428,27620
2015,Telangana,South,34.58,671,1380,791,468,5199,7572,3208,1607,20896,6.04,,10882,7274
2016,Telangana,South,34.96,539,1337,1472,696,7786,6576,1952,2700,23058,6.6,10.35,10620,11182
2017,Telangana,South,35.34,609,1393,1411,841,5596,6469,1076,2112,19507,5.52,-15.4,10723,8549
2018,Telangana,South,35.72,635,1520,903,643,9324,5166,3830,3865,25886,7.25,32.7,8867,13832
2019,Telangana,South,36.1,613,894,1186,893,8118,4138,5449,1847,23138,6.41,-10.62,7724,10858
2020,Telangana,South,36.48,549,759,1513,534,5708,4161,2755,4266,20245,5.55,-12.5,7516,10508
2021,Telangana,South,36.86,701,990,1218,813,9531,7147,3928,3421,27749,7.53,37.07,10869,13765
2022,Telangana,South,37.24,682,791,1555,672,10135,4954,6232,4386,29407,7.9,5.97,8654,15193
2023,Telangana,South,37.62,677,864,1544,824,8888,8261,7566,6311,34935,9.29,18.8,12170,16023
2024,Telangana,South,38,555,1577,1484,510,5861,6712,9237,6295,32231,8.48,-7.74,10838,12666
2015,Tripura,Northeast,3.822,69,131,115,73,884,550,184,322,2328,6.09,,938,1279
2016,Tripura,Northeast,3.864,79,190,217,98,896,946,481,204,3111,8.05,33.63,1530,1198
2017,Tripura,Northeast,3.906,68,178,151,95,1036,644,331,307,2810,7.19,-9.68,1136,1438
2018,Tripura,Northeast,3.948,53,96,213,73,1008,743,738,310,3234,8.19,15.09,1178,1391
2019,Tripura,Northeast,3.99,71,189,219,68,1244,879,515,285,3470,8.7,7.3,1426,1597
2020,Tripura,Northeast,4.032,47,146,145,74,997,930,264,448,3051,7.57,-12.07,1342,1519
2021,Tripura,Northeast,4.074,56,168,185,123,660,549,424,372,2537,6.23,-16.85,1081,1155
2022,Tripura,Northeast,4.116,68,206,149,80,1293,931,995,329,4051,9.84,59.68,1434,1702
2023,Tripura,Northeast,4.158,81,108,125,137,814,1018,703,534,3520,8.47,-13.11,1469,1485
2024,Tripura,Northeast,4.2,102,109,218,145,1182,1377,351,624,4108,9.78,16.7,1951,1951
2015,Uttar Pradesh,North,214.487,2916,6925,4861,3646,27191,32973,10512,16255,105279,4.91,,51321,47092
2016,Uttar Pradesh,North,216.844,2799,4705,4303,2310,28537,25447,19233,13189,100523,4.64,-4.52,39564,44036
2017,Uttar Pradesh,North,219.201,2732,3909,7994,4014,24938,38349,16140,8067,106143,4.84,5.59,56998,37019
2018,Uttar Pradesh,North,221.558,2691,5454,4755,4763,47074,38145,16611,14008,133501,6.03,25.77,55808,65845
2019,Uttar Pradesh,North,223.915,3062,5821,4340,3561,46898,33083,7977,21757,126499,5.65,-5.24,49867,72216
2020,Uttar Pradesh,North,226.272,1959,3910,4070,2523,38133,29149,11055,20928,111727,4.94,-11.68,41611,61584
2021,Uttar Pradesh,North,228.629,3260,6777,4970,3209,49359,39824,8317,10384,126100,5.52,12.86,58040,62952
2022,Uttar Pradesh,North,230.986,2946,7774,7191,3753,28956,41243,39068,19295,150226,6.5,19.13,62907,52004
